build_id,scope_version,snapshot_date,comercio_a,bandera_a,comercio_b,bandera_b,common_gtins,catalog_a,catalog_b,containment_pct,jaccard_pct,publishable
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,10,1,11,2,8193,34279,26834,30.532160691659836,15.48185941043084,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,10,1,12,1,7697,34279,13302,57.86347917606375,19.298465550095276,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,10,1,9,3,5906,34279,10983,53.77401438586907,15.006606362435207,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,12,1,9,3,5742,13302,10983,52.28079759628517,30.965863128943536,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,11,2,12,1,5708,26834,13302,42.91084047511652,16.57952829092599,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,10,1,2,1,5580,34279,8886,62.795408507765025,14.84634827723826,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,12,1,2,1,5189,13302,8886,58.395228449246005,30.52532501911877,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,10,1,13,1,5180,34279,10506,49.3051589567866,13.079156672137357,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,12,1,13,1,4915,13302,10506,46.7827907862174,26.0149261631292,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,13,1,2,1,4188,10506,8886,47.13031735313977,27.54538279400158,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,11,2,9,3,4182,26834,10983,38.07702813438951,12.433477032852684,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,11,2,2,1,4129,26834,8886,46.46635156425838,13.070178215314488,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,13,1,9,3,4086,10506,10983,38.89206167904055,23.478710567143597,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,2,1,9,3,4073,8886,10983,45.836146747693,25.78500886300329,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,11,2,13,1,4023,26834,10506,38.292404340376926,12.074916709187502,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,10,1,15,1,2641,34279,4200,62.88095238095238,7.369272838886099,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,12,1,15,1,2521,13302,4200,60.023809523809526,16.82798211067352,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,15,1,2,1,2112,4200,8886,50.285714285714285,19.245489338436304,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,13,1,15,1,2081,10506,4200,49.54761904761905,16.483168316831684,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,15,1,9,3,1943,4200,10983,46.26190476190476,14.675226586102719,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,11,2,15,1,1876,26834,4200,44.666666666666664,6.433911790932163,True
